Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Using device=cuda dtype=torch.bfloat16
MPS status: built=False available=False
Registered 2000 JSON stroke files for split [train] from sedrah_pipeline/calliar_dataset/json/train
Registered 250 JSON stroke files for split [validation] from sedrah_pipeline/calliar_dataset/json/validation
Loading tokenizer/processor from Qwen/Qwen2-VL-2B-Instruct
Loading model from Qwen/Qwen2-VL-2B-Instruct
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 42581.77it/s]
Loading weights:   0%|          | 0/729 [00:00<?, ?it/s]Loading weights: 100%|██████████| 729/729 [00:00<00:00, 8151.86it/s]
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
trainable params: 4,358,144 || all params: 2,213,343,744 || trainable%: 0.1969
epoch=1/10 step=1020/2000 loss=0.7529 samples_per_sec=2.92
epoch=1/10 step=1030/2000 loss=0.7168 samples_per_sec=3.02
epoch=1/10 step=1040/2000 loss=0.7533 samples_per_sec=2.90
epoch=1/10 step=1050/2000 loss=0.7375 samples_per_sec=2.76
epoch=1/10 step=1060/2000 loss=0.7187 samples_per_sec=2.72
epoch=1/10 step=1070/2000 loss=0.6719 samples_per_sec=2.58
epoch=1/10 step=1080/2000 loss=0.7220 samples_per_sec=2.91
epoch=1/10 step=1090/2000 loss=0.7083 samples_per_sec=2.74
epoch=1/10 step=1100/2000 loss=0.7654 samples_per_sec=2.96
epoch=1/10 step=1110/2000 loss=0.7481 samples_per_sec=2.86
epoch=1/10 step=1120/2000 loss=0.7587 samples_per_sec=2.73
epoch=1/10 step=1130/2000 loss=0.8101 samples_per_sec=2.84
epoch=1/10 step=1140/2000 loss=0.7537 samples_per_sec=2.87
epoch=1/10 step=1150/2000 loss=0.7778 samples_per_sec=3.05
epoch=1/10 step=1160/2000 loss=0.6537 samples_per_sec=2.81
epoch=1/10 step=1170/2000 loss=0.6893 samples_per_sec=2.97
epoch=1/10 step=1180/2000 loss=0.6767 samples_per_sec=2.73
epoch=1/10 step=1190/2000 loss=0.6246 samples_per_sec=2.66
epoch=1/10 step=1200/2000 loss=0.7136 samples_per_sec=2.74
epoch=1/10 step=1210/2000 loss=0.7487 samples_per_sec=2.80
epoch=1/10 step=1220/2000 loss=0.7410 samples_per_sec=2.85
epoch=1/10 step=1230/2000 loss=0.7403 samples_per_sec=2.56
epoch=1/10 step=1240/2000 loss=0.7279 samples_per_sec=2.67
epoch=1/10 step=1250/2000 loss=0.7900 samples_per_sec=2.79
epoch=1/10 step=1260/2000 loss=0.6054 samples_per_sec=2.64
epoch=1/10 step=1270/2000 loss=0.7200 samples_per_sec=3.10
epoch=1/10 step=1280/2000 loss=0.7330 samples_per_sec=2.87
epoch=1/10 step=1290/2000 loss=0.5732 samples_per_sec=2.98
epoch=1/10 step=1300/2000 loss=0.7121 samples_per_sec=2.77
epoch=1/10 step=1310/2000 loss=0.7192 samples_per_sec=2.80
epoch=1/10 step=1320/2000 loss=0.7215 samples_per_sec=3.21
epoch=1/10 step=1330/2000 loss=0.7595 samples_per_sec=2.74
epoch=1/10 step=1340/2000 loss=0.7221 samples_per_sec=2.81
epoch=1/10 step=1350/2000 loss=0.6744 samples_per_sec=2.69
epoch=1/10 step=1360/2000 loss=0.7249 samples_per_sec=2.72
epoch=1/10 step=1370/2000 loss=0.7382 samples_per_sec=2.78
epoch=1/10 step=1380/2000 loss=0.7798 samples_per_sec=2.99
epoch=1/10 step=1390/2000 loss=0.7486 samples_per_sec=2.75
epoch=1/10 step=1400/2000 loss=0.6897 samples_per_sec=2.65
epoch=1/10 step=1410/2000 loss=0.7443 samples_per_sec=3.20
epoch=1/10 step=1420/2000 loss=0.7718 samples_per_sec=2.96
epoch=1/10 step=1430/2000 loss=0.6457 samples_per_sec=2.83
epoch=1/10 step=1440/2000 loss=0.7157 samples_per_sec=2.83
epoch=1/10 step=1450/2000 loss=0.6972 samples_per_sec=2.65
epoch=1/10 step=1460/2000 loss=0.6838 samples_per_sec=2.78
epoch=1/10 step=1470/2000 loss=0.7238 samples_per_sec=2.60
epoch=1/10 step=1480/2000 loss=0.6821 samples_per_sec=2.87
epoch=1/10 step=1490/2000 loss=0.7527 samples_per_sec=2.78
epoch=1/10 step=1500/2000 loss=0.7044 samples_per_sec=2.88
epoch=1/10 step=1510/2000 loss=0.7600 samples_per_sec=2.60
epoch=1/10 step=1520/2000 loss=0.6844 samples_per_sec=2.82
epoch=1/10 step=1530/2000 loss=0.6824 samples_per_sec=2.66
epoch=1/10 step=1540/2000 loss=0.7187 samples_per_sec=3.03
epoch=1/10 step=1550/2000 loss=0.6761 samples_per_sec=2.70
epoch=1/10 step=1560/2000 loss=0.7568 samples_per_sec=2.67
epoch=1/10 step=1570/2000 loss=0.6977 samples_per_sec=2.81
epoch=1/10 step=1580/2000 loss=0.7207 samples_per_sec=2.73
epoch=1/10 step=1590/2000 loss=0.6876 samples_per_sec=3.04
epoch=1/10 step=1600/2000 loss=0.6890 samples_per_sec=2.89
epoch=1/10 step=1610/2000 loss=0.7747 samples_per_sec=2.99
epoch=1/10 step=1620/2000 loss=0.6174 samples_per_sec=2.83
epoch=1/10 step=1630/2000 loss=0.7081 samples_per_sec=2.94
epoch=1/10 step=1640/2000 loss=0.7805 samples_per_sec=2.91
epoch=1/10 step=1650/2000 loss=0.6107 samples_per_sec=2.72
epoch=1/10 step=1660/2000 loss=0.6080 samples_per_sec=2.62
epoch=1/10 step=1670/2000 loss=0.7481 samples_per_sec=2.65
epoch=1/10 step=1680/2000 loss=0.7567 samples_per_sec=2.92
epoch=1/10 step=1690/2000 loss=0.7502 samples_per_sec=2.93
epoch=1/10 step=1700/2000 loss=0.6910 samples_per_sec=2.77
epoch=1/10 step=1710/2000 loss=0.6957 samples_per_sec=2.59
epoch=1/10 step=1720/2000 loss=0.6682 samples_per_sec=2.70
epoch=1/10 step=1730/2000 loss=0.7448 samples_per_sec=2.99
epoch=1/10 step=1740/2000 loss=0.6518 samples_per_sec=2.71
epoch=1/10 step=1750/2000 loss=0.7075 samples_per_sec=2.83
epoch=1/10 step=1760/2000 loss=0.7406 samples_per_sec=3.26
epoch=1/10 step=1770/2000 loss=0.6951 samples_per_sec=3.00
epoch=1/10 step=1780/2000 loss=0.8491 samples_per_sec=3.11
epoch=1/10 step=1790/2000 loss=0.7597 samples_per_sec=2.98
epoch=1/10 step=1800/2000 loss=0.7724 samples_per_sec=2.95
epoch=1/10 step=1810/2000 loss=0.7094 samples_per_sec=2.88
epoch=1/10 step=1820/2000 loss=0.6720 samples_per_sec=2.76
epoch=1/10 step=1830/2000 loss=0.7693 samples_per_sec=2.76
epoch=1/10 step=1840/2000 loss=0.7821 samples_per_sec=2.99
epoch=1/10 step=1850/2000 loss=0.7544 samples_per_sec=2.75
epoch=1/10 step=1860/2000 loss=0.7109 samples_per_sec=2.70
epoch=1/10 step=1870/2000 loss=0.7391 samples_per_sec=2.81
epoch=1/10 step=1880/2000 loss=0.7902 samples_per_sec=2.93
epoch=1/10 step=1890/2000 loss=0.7626 samples_per_sec=2.86
epoch=1/10 step=1900/2000 loss=0.7221 samples_per_sec=2.71
epoch=1/10 step=1910/2000 loss=0.7486 samples_per_sec=2.75
epoch=1/10 step=1920/2000 loss=0.7030 samples_per_sec=2.80
epoch=1/10 step=1930/2000 loss=0.6868 samples_per_sec=2.88
epoch=1/10 step=1940/2000 loss=0.6587 samples_per_sec=2.83
epoch=1/10 step=1950/2000 loss=0.6651 samples_per_sec=2.79
epoch=1/10 step=1960/2000 loss=0.6875 samples_per_sec=3.03
epoch=1/10 step=1970/2000 loss=0.6758 samples_per_sec=2.87
epoch=1/10 step=1980/2000 loss=0.6591 samples_per_sec=2.82
epoch=1/10 step=1990/2000 loss=0.7107 samples_per_sec=3.09
epoch=1/10 step=2000/2000 loss=0.7315 samples_per_sec=2.90
epoch=1 complete train_loss=0.7336 val_loss=0.7059 epoch_time=707.12s
epoch=2/10 step=1/2000 loss=0.6156 samples_per_sec=2.63
epoch=2/10 step=10/2000 loss=0.6804 samples_per_sec=3.47
epoch=2/10 step=20/2000 loss=0.7064 samples_per_sec=3.01
epoch=2/10 step=30/2000 loss=0.7393 samples_per_sec=3.26
epoch=2/10 step=40/2000 loss=0.7553 samples_per_sec=3.19
epoch=2/10 step=50/2000 loss=0.7214 samples_per_sec=2.98
epoch=2/10 step=60/2000 loss=0.7589 samples_per_sec=3.14
epoch=2/10 step=70/2000 loss=0.6207 samples_per_sec=3.17
epoch=2/10 step=80/2000 loss=0.7321 samples_per_sec=3.33
epoch=2/10 step=90/2000 loss=0.6504 samples_per_sec=3.63
epoch=2/10 step=100/2000 loss=0.7493 samples_per_sec=2.90
epoch=2/10 step=110/2000 loss=0.6369 samples_per_sec=3.00
epoch=2/10 step=120/2000 loss=0.7600 samples_per_sec=3.76
epoch=2/10 step=130/2000 loss=0.6303 samples_per_sec=3.22
epoch=2/10 step=140/2000 loss=0.6598 samples_per_sec=3.63
epoch=2/10 step=150/2000 loss=0.7550 samples_per_sec=3.56
epoch=2/10 step=160/2000 loss=0.6703 samples_per_sec=3.10
epoch=2/10 step=170/2000 loss=0.6868 samples_per_sec=3.19
epoch=2/10 step=180/2000 loss=0.6891 samples_per_sec=2.93
epoch=2/10 step=190/2000 loss=0.6974 samples_per_sec=3.17
epoch=2/10 step=200/2000 loss=0.7028 samples_per_sec=2.76
epoch=2/10 step=210/2000 loss=0.6490 samples_per_sec=3.11
epoch=2/10 step=220/2000 loss=0.6731 samples_per_sec=3.21
epoch=2/10 step=230/2000 loss=0.7389 samples_per_sec=2.84
epoch=2/10 step=240/2000 loss=0.6907 samples_per_sec=2.86
epoch=2/10 step=250/2000 loss=0.6053 samples_per_sec=3.25
epoch=2/10 step=260/2000 loss=0.6947 samples_per_sec=3.09
epoch=2/10 step=270/2000 loss=0.7889 samples_per_sec=3.01
epoch=2/10 step=280/2000 loss=0.6178 samples_per_sec=3.24
epoch=2/10 step=290/2000 loss=0.6780 samples_per_sec=2.92
epoch=2/10 step=300/2000 loss=0.6885 samples_per_sec=3.27
epoch=2/10 step=310/2000 loss=0.7346 samples_per_sec=3.33
epoch=2/10 step=320/2000 loss=0.7280 samples_per_sec=3.57
epoch=2/10 step=330/2000 loss=0.7680 samples_per_sec=2.99
epoch=2/10 step=340/2000 loss=0.7842 samples_per_sec=3.74
epoch=2/10 step=350/2000 loss=0.6001 samples_per_sec=3.33
epoch=2/10 step=360/2000 loss=0.7233 samples_per_sec=3.24
epoch=2/10 step=370/2000 loss=0.6605 samples_per_sec=3.48
epoch=2/10 step=380/2000 loss=0.7240 samples_per_sec=3.20
epoch=2/10 step=390/2000 loss=0.6433 samples_per_sec=3.09
epoch=2/10 step=400/2000 loss=0.6572 samples_per_sec=3.40
epoch=2/10 step=410/2000 loss=0.7364 samples_per_sec=2.76
epoch=2/10 step=420/2000 loss=0.7175 samples_per_sec=3.32
epoch=2/10 step=430/2000 loss=0.7023 samples_per_sec=3.09
epoch=2/10 step=440/2000 loss=0.6959 samples_per_sec=3.03
epoch=2/10 step=450/2000 loss=0.6878 samples_per_sec=3.04
epoch=2/10 step=460/2000 loss=0.6931 samples_per_sec=3.33
epoch=2/10 step=470/2000 loss=0.7023 samples_per_sec=3.46
epoch=2/10 step=480/2000 loss=0.7172 samples_per_sec=2.91
epoch=2/10 step=490/2000 loss=0.7719 samples_per_sec=3.08
epoch=2/10 step=500/2000 loss=0.7066 samples_per_sec=3.20
epoch=2/10 step=510/2000 loss=0.7373 samples_per_sec=3.68
epoch=2/10 step=520/2000 loss=0.6991 samples_per_sec=3.31
epoch=2/10 step=530/2000 loss=0.8113 samples_per_sec=3.00
epoch=2/10 step=540/2000 loss=0.6672 samples_per_sec=3.15
epoch=2/10 step=550/2000 loss=0.6830 samples_per_sec=3.03
epoch=2/10 step=560/2000 loss=0.7136 samples_per_sec=3.33
epoch=2/10 step=570/2000 loss=0.6943 samples_per_sec=3.32
epoch=2/10 step=580/2000 loss=0.6839 samples_per_sec=3.12
epoch=2/10 step=590/2000 loss=0.7318 samples_per_sec=3.38
epoch=2/10 step=600/2000 loss=0.7578 samples_per_sec=3.38
epoch=2/10 step=610/2000 loss=0.5737 samples_per_sec=2.95
epoch=2/10 step=620/2000 loss=0.6939 samples_per_sec=2.95
epoch=2/10 step=630/2000 loss=0.7359 samples_per_sec=2.98
epoch=2/10 step=640/2000 loss=0.7225 samples_per_sec=3.30
epoch=2/10 step=650/2000 loss=0.7661 samples_per_sec=3.44
epoch=2/10 step=660/2000 loss=0.6765 samples_per_sec=2.91
epoch=2/10 step=670/2000 loss=0.7204 samples_per_sec=3.03
epoch=2/10 step=680/2000 loss=0.6089 samples_per_sec=3.26
epoch=2/10 step=690/2000 loss=0.7051 samples_per_sec=3.14
epoch=2/10 step=700/2000 loss=0.6869 samples_per_sec=3.15
epoch=2/10 step=710/2000 loss=0.7700 samples_per_sec=3.63
epoch=2/10 step=720/2000 loss=0.6923 samples_per_sec=2.71
epoch=2/10 step=730/2000 loss=0.7213 samples_per_sec=3.34
epoch=2/10 step=740/2000 loss=0.6036 samples_per_sec=3.27
epoch=2/10 step=750/2000 loss=0.5874 samples_per_sec=2.74
epoch=2/10 step=760/2000 loss=0.6825 samples_per_sec=3.55
epoch=2/10 step=770/2000 loss=0.5810 samples_per_sec=3.38
epoch=2/10 step=780/2000 loss=0.6707 samples_per_sec=3.27
epoch=2/10 step=790/2000 loss=0.6887 samples_per_sec=3.06
epoch=2/10 step=800/2000 loss=0.6233 samples_per_sec=2.79
epoch=2/10 step=810/2000 loss=0.7294 samples_per_sec=3.24
epoch=2/10 step=820/2000 loss=0.6979 samples_per_sec=2.86
epoch=2/10 step=830/2000 loss=0.7388 samples_per_sec=3.11
epoch=2/10 step=840/2000 loss=0.7479 samples_per_sec=4.21
epoch=2/10 step=850/2000 loss=0.5367 samples_per_sec=2.92
epoch=2/10 step=860/2000 loss=0.7148 samples_per_sec=3.63
epoch=2/10 step=870/2000 loss=0.6917 samples_per_sec=3.22
epoch=2/10 step=880/2000 loss=0.6200 samples_per_sec=3.80
epoch=2/10 step=890/2000 loss=0.7128 samples_per_sec=2.67
epoch=2/10 step=900/2000 loss=0.7448 samples_per_sec=3.37
epoch=2/10 step=910/2000 loss=0.7390 samples_per_sec=3.30
epoch=2/10 step=920/2000 loss=0.5565 samples_per_sec=3.15
epoch=2/10 step=930/2000 loss=0.7536 samples_per_sec=3.44
epoch=2/10 step=940/2000 loss=0.6290 samples_per_sec=3.00
epoch=2/10 step=950/2000 loss=0.6756 samples_per_sec=3.30
epoch=2/10 step=960/2000 loss=0.7234 samples_per_sec=3.15
epoch=2/10 step=970/2000 loss=0.6434 samples_per_sec=2.78
epoch=2/10 step=980/2000 loss=0.6921 samples_per_sec=2.91
epoch=2/10 step=990/2000 loss=0.7374 samples_per_sec=3.67
epoch=2/10 step=1000/2000 loss=0.5738 samples_per_sec=2.92
epoch=2/10 step=1010/2000 loss=0.7047 samples_per_sec=3.18
epoch=2/10 step=1020/2000 loss=0.7286 samples_per_sec=3.17
epoch=2/10 step=1030/2000 loss=0.6216 samples_per_sec=3.64
epoch=2/10 step=1040/2000 loss=0.6269 samples_per_sec=3.48
epoch=2/10 step=1050/2000 loss=0.6740 samples_per_sec=3.21
epoch=2/10 step=1060/2000 loss=0.5951 samples_per_sec=3.09
epoch=2/10 step=1070/2000 loss=0.7310 samples_per_sec=2.92
epoch=2/10 step=1080/2000 loss=0.7189 samples_per_sec=3.72
epoch=2/10 step=1090/2000 loss=0.6880 samples_per_sec=3.17
epoch=2/10 step=1100/2000 loss=0.7359 samples_per_sec=3.36
epoch=2/10 step=1110/2000 loss=0.7497 samples_per_sec=3.28
epoch=2/10 step=1120/2000 loss=0.6837 samples_per_sec=2.98
epoch=2/10 step=1130/2000 loss=0.6711 samples_per_sec=3.23
epoch=2/10 step=1140/2000 loss=0.6971 samples_per_sec=2.93
epoch=2/10 step=1150/2000 loss=0.7249 samples_per_sec=3.36
epoch=2/10 step=1160/2000 loss=0.7229 samples_per_sec=3.04
epoch=2/10 step=1170/2000 loss=0.6667 samples_per_sec=3.12
epoch=2/10 step=1180/2000 loss=0.6557 samples_per_sec=3.39
epoch=2/10 step=1190/2000 loss=0.7325 samples_per_sec=3.44
epoch=2/10 step=1200/2000 loss=0.6643 samples_per_sec=3.36
epoch=2/10 step=1210/2000 loss=0.7232 samples_per_sec=3.10
epoch=2/10 step=1220/2000 loss=0.7038 samples_per_sec=2.87
epoch=2/10 step=1230/2000 loss=0.6801 samples_per_sec=3.07
epoch=2/10 step=1240/2000 loss=0.6396 samples_per_sec=3.14
epoch=2/10 step=1250/2000 loss=0.7337 samples_per_sec=3.04
epoch=2/10 step=1260/2000 loss=0.5457 samples_per_sec=3.19
epoch=2/10 step=1270/2000 loss=0.6958 samples_per_sec=3.15
epoch=2/10 step=1280/2000 loss=0.7521 samples_per_sec=2.73
epoch=2/10 step=1290/2000 loss=0.6164 samples_per_sec=3.13
epoch=2/10 step=1300/2000 loss=0.6790 samples_per_sec=3.16
epoch=2/10 step=1310/2000 loss=0.5913 samples_per_sec=2.97
epoch=2/10 step=1320/2000 loss=0.6195 samples_per_sec=3.37
epoch=2/10 step=1330/2000 loss=0.7220 samples_per_sec=3.74
epoch=2/10 step=1340/2000 loss=0.7251 samples_per_sec=2.95
epoch=2/10 step=1350/2000 loss=0.6074 samples_per_sec=3.32
epoch=2/10 step=1360/2000 loss=0.6801 samples_per_sec=3.13
epoch=2/10 step=1370/2000 loss=0.7198 samples_per_sec=3.48
epoch=2/10 step=1380/2000 loss=0.7545 samples_per_sec=3.17
epoch=2/10 step=1390/2000 loss=0.6739 samples_per_sec=3.13
epoch=2/10 step=1400/2000 loss=0.7009 samples_per_sec=3.15
epoch=2/10 step=1410/2000 loss=0.6123 samples_per_sec=3.40
epoch=2/10 step=1420/2000 loss=0.6864 samples_per_sec=3.38
epoch=2/10 step=1430/2000 loss=0.6536 samples_per_sec=3.14
epoch=2/10 step=1440/2000 loss=0.7062 samples_per_sec=2.83
epoch=2/10 step=1450/2000 loss=0.6839 samples_per_sec=3.45
epoch=2/10 step=1460/2000 loss=0.7309 samples_per_sec=3.05
epoch=2/10 step=1470/2000 loss=0.6943 samples_per_sec=3.01
epoch=2/10 step=1480/2000 loss=0.7011 samples_per_sec=3.07
epoch=2/10 step=1490/2000 loss=0.6877 samples_per_sec=2.86
epoch=2/10 step=1500/2000 loss=0.7361 samples_per_sec=3.50
epoch=2/10 step=1510/2000 loss=0.6702 samples_per_sec=2.72
epoch=2/10 step=1520/2000 loss=0.7153 samples_per_sec=3.64
epoch=2/10 step=1530/2000 loss=0.6865 samples_per_sec=3.19
