Using device=cuda dtype=torch.bfloat16
MPS status: built=False available=False
Registered 2000 JSON stroke files for split [train] from sedrah_pipeline/calliar_dataset/json/train
Registered 250 JSON stroke files for split [validation] from sedrah_pipeline/calliar_dataset/json/validation
Loading tokenizer/processor from Qwen/Qwen2-VL-2B-Instruct
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading model from Qwen/Qwen2-VL-2B-Instruct
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 37617.08it/s]
Loading weights:   0%|          | 0/729 [00:00<?, ?it/s]Loading weights: 100%|██████████| 729/729 [00:00<00:00, 8211.21it/s]
trainable params: 4,358,144 || all params: 2,213,343,744 || trainable%: 0.1969
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
epoch=1/10 step=1410/2000 loss=0.6887 samples_per_sec=2.62
epoch=1/10 step=1420/2000 loss=0.6728 samples_per_sec=3.03
epoch=1/10 step=1430/2000 loss=0.7958 samples_per_sec=2.74
epoch=1/10 step=1440/2000 loss=0.7488 samples_per_sec=2.62
epoch=1/10 step=1450/2000 loss=0.7965 samples_per_sec=3.00
epoch=1/10 step=1460/2000 loss=0.7303 samples_per_sec=2.80
epoch=1/10 step=1470/2000 loss=0.6406 samples_per_sec=2.68
epoch=1/10 step=1480/2000 loss=0.7665 samples_per_sec=2.69
epoch=1/10 step=1490/2000 loss=0.7237 samples_per_sec=3.16
epoch=1/10 step=1500/2000 loss=0.6842 samples_per_sec=2.80
epoch=1/10 step=1510/2000 loss=0.8221 samples_per_sec=2.77
epoch=1/10 step=1520/2000 loss=0.7054 samples_per_sec=2.93
epoch=1/10 step=1530/2000 loss=0.6501 samples_per_sec=2.94
epoch=1/10 step=1540/2000 loss=0.6695 samples_per_sec=2.63
epoch=1/10 step=1550/2000 loss=0.7199 samples_per_sec=2.82
epoch=1/10 step=1560/2000 loss=0.7569 samples_per_sec=2.74
epoch=1/10 step=1570/2000 loss=0.6460 samples_per_sec=2.70
epoch=1/10 step=1580/2000 loss=0.7330 samples_per_sec=2.92
epoch=1/10 step=1590/2000 loss=0.6306 samples_per_sec=2.89
